25346332	success	enjoyed	24	24	22	22	Croatia had some early successes in the mid-1990s , and the State Union of Serbia and Montenegro and Bosnia and Herzegovina have enjoyed some success in recent years , while the Republic of Macedonia has never secured a top 10 result despite making it through to the final each year until 2008 , in which it lost at the semi-final stage .
25382827	degree	enjoyed	4	4	2	2	Cree women enjoyed a degree of autonomy that confounded European men who married Aboriginal women .
25874728	status	enjoy	31	31	29	29	Claude Th e lot , president of the Commission for National Debate on the Future of Schools , for declaring that English as a language of international communication should enjoy equal status with French in the school curriculum , and for recommending that undubbed American soaps should be broadcast on French television as an aid to learning English .
26669017	person	enjoying	19	19	17	17	Bree is initially reluctant , but a passionate kiss reveals that , like Karl , Bree is enjoying the person she has become , too .
27950778	surge	enjoys	8	8	6	6	Horse racing in the United States enjoys a surge in ratings , thanks to three straight years of Triple Crown hopefuls -LRB- War Emblem , Funny Cide and Smarty Jones in 2002 , 2003 and 2004 -RRB- .
28266108	run	enjoyed	5	5	2	2	His gang enjoyed a successful run of robbing pay wagons and stage coaches of cash in the late 1870s , but a yearning for bigger profits led to the attempted train robbery .
28475336	match	enjoyed	5	5	1	1	He enjoyed an illustrious testimonial match in 1985 at Dalymount Park , when an Irish XI beat a Glenn Hoddle XI -LSB- 1 -RSB- .
28475814	favour	enjoyed	7	7	1	1	He enjoyed , however , the personal favour of Maria Theresa , who sought to have him made Archbishop of Vienna , and in 1778 exerted herself to the uttermost to obtain for him the cardinal ' s hat .
28476210	success	enjoyed	3	3	1	1	He enjoyed some success at underage level and won a senior county championship medal in 2003 .
28579127	success	enjoyed	14	14	13	13	He left in summer 2001 FC Mulhouse and signed with RC Strasbourg here enjoyed success in the club ' s youth ranks , helping them through to the final of the Gambardella Cup in 2003 .
28950292	career	enjoyed	7	7	3	3	He has subsequently enjoyed a successful international career as a soloist and chamber musician .
30396273	reputation	enjoyed	9	9	6	6	From the late 1930s onward he enjoyed a growing reputation as an archivist and regional historian .
30676119	monopoly	enjoyed	11	11	7	7	For the first few years , Japan enjoyed a near total monopoly of trade , while Korean merchants suffered serious losses .
31356209	immunity	enjoying	32	32	30	30	He and Wade were among those charged with complicity in the murder on October 1 , 1993 , but he was not held in custody or put on trial , enjoying parliamentary immunity .
32815148	life	enjoy	9	9	8	8	John feels his dad is just trying to enjoy life , something his bitter mother seems incapable of doing .
33438281	title	enjoyed	3	3	1	1	It enjoyed the title of `` city '' by virtue of being the see of an Anglican bishop from 1133 .
34930354	career	enjoyed	6	6	3	3	Louis Philippe has enjoyed a parallel career as an arranger , producer and instrumentalist since the late 1980s .
35434068	career	enjoyed	4	4	1	1	MacKay enjoyed a 20-year career as an amateur and a professional tennis player .
37531438	success	enjoyed	13	13	11	11	Lane played his hurling with his local club in Aghabullogue and enjoyed some success .
37589001	need	enjoyed	3	3	1	1	Lasker enjoyed the need to adapt to varying styles and to the shifting fortunes of tournaments .
