sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
75839424	Wing	discontinue	30	30	26	26	With the B-47 being programmed for retirement , and in order to retain the lineage of 379th , Headquarters SAC received authority from Headquarters USAF to discontinue the 4026th Strategic Wing and to activate an AFCON unit which could carry a lineage and history .
75845811	production	discontinue	25	25	24	24	With the introduction of the similarly powerful and less expensive 2006 model-year Honda Civic Si to the marketplace , the decision was made to discontinue production of the RSX , with the final units built in summer 2006 .
75846915	development	discontinuing	22	22	20	20	With their efforts concentrated on Visigenic Software , Borland unsuccessfully attempted to switch Entera users to Visibroker , before ultimately discontinuing active development of Entera in 2001 .
75852890	practice	discontinued	17	17	15	15	With the March 11 , 2009 announcement of an end date , Qwest Wireless also discontinued the practice of charging early termination fees for customers who have term agreements with the carrier .
75853997	pursuit	discontinued	8	8	7	7	With the militia in retreat , Cornwallis discontinued pursuit and took up a strong position on the heights overlooking Matson ' s Ford .
75857115	car	discontinue	41	41	39	39	With the acquisition of Willys-Overland ' s vehicle operations in early 1953 by the Kaiser Manufacturing Company division of Kaiser-Frazer -LRB- the division changed its name at that time to Willys Motors , Incorporated -RRB- , management decided to discontinue the car at the end of the 1953 model year .
75885105	medication	discontinuing	41	41	39	39	With longer use amenorrhoea can occur as can irregular menstruation which is a major source of dissatisfaction , though both can result in improvements with iron deficiency and risk of pelvic inflammatory disease and often do not result in discontinuing the medication .
75918017	format	discontinued	41	41	38	38	With a playlist that rocked harder than more established AOR outlets WRIF and WLLZ , WDZR achieved decent ratings for a time , but in 1996 , ABC , having acquired the assets of Satellite Music Network , discontinued the Z-Rock format .
75926206	relationship	discontinuing	4	4	2	2	With CyclePro discontinuing its relationship with GHP -LRB- during its first incarnation -RRB- Clint Miller was dropped from the team for financial reasons .
75927577	development	discontinued	12	12	10	10	With development focus solely on Avro Keyboard , OmicronLab has discontinued further development of Avro Converter .
75936154	bus	discontinued	12	12	9	9	With BART ' s extension to SFO , Caltrain discontinued the shuttle bus .
75936312	rivalry	discontinued	10	10	8	8	With BC leading the series 27-4-1 , BU discontinued the rivalry after the 1962 season .
75966646	treatment	discontinue	19	19	18	18	With his underlying condition of edema being incurable and difficult to treat , the decision was made to discontinue treatment , and he died 23 months later on September 10 , 1983 , aged 41 .
75998255	publication	discontinued	3	3	1	1	WAIS discontinued the publication of the printed version of the World Affairs Report in 1990 .
76063891	programming	discontinue	8	8	4	4	W49AI was forced to discontinue Fox and WOFL programming upon WOGX ' s affiliation .
76065770	syndication	discontinued	23	23	19	19	WABC ' s manager , Phil Boyce , wrote in e-mails to listeners that ABC Radio Network simply had discontinued Batchelor ' s syndication , but Boyce did not give any hint why that happened .
76072320	signal	discontinued	4	4	1	1	WADL discontinued its analog signal on June 12 , 2009 , as part of the transition from analog to digital conversion .
76094341	engine	discontinued	3	3	1	1	Volvo discontinued the engine subsequent to its change in ownership and management in August , 2010 .
76106784	engine	discontinued	23	23	20	20	V12 , which continued -LRB- after revisions in 1993 -RRB- until the 1996 model year , after which the marque discontinued the twelve-cylinder engine .
76109433	engine	discontinuing	9	9	6	6	V8 enginePreviously , Holden had considered discontinuing their V8 engine rather than adapting it to unleaded petrol .
76158971	body	discontinued	37	37	30	30	Valiant Van , Valiant Sports Van and Drifter Van brochure Retrieved on 14 May 2011 The Drifter did not carry over to the 1978 CM Valiant range as Chrysler Australia discontinued both the panel van and utility body styles at the end of the CL series .
76168221	line	discontinued	5	5	1	1	Val-Test discontinued the Keen Kutter line of goods during the 1990s .
76204500	title	discontinued	14	14	12	12	Vacated 29 July 2011 Surrey , British Columbia ECCW Owner Michael Sweetser discontinued the title , stating ECCW was going in a new direction without hardcore wrestling .
76242774	support	discontinue	4	4	2	2	When you discontinue game support for all of the Humongous Entertainment games -LRB- including your own HE-releated ones -RRB- , you do much more than to teach kids of being prevented from buying another HE game .
76253606	arrangement	discontinued	18	18	16	16	When I eventually realized I was having only a marginal effect , we -LRB- mutually -RRB- discontinued the arrangement .
76259461	tribute	discontinuing	28	28	23	23	When in 1323 Gediminas also gained control of Kiev and installed there as prince his brother Fedor , there was no question of discontinuing the principality ' s tribute to the Khan .
76260573	practice	discontinued	21	21	19	19	When in 2004 , as speaker , he moved into the official residence at 20 Akbar Road , he discontinued the practice of paying for toiletries and tea from the national exchequer .
76279863	practice	discontinued	7	7	5	5	While many Yearly Meetings have discontinued the practice of recording ministers , it is maintained by many others .
76283051	show	discontinued	15	15	13	13	While Money Maze was scheduled to end on July 4 , the network discontinued the show before the final week was taped .
76283982	practice	discontinued	6	6	4	4	While most cinemas have discontinued the practice of showing the double feature , it has nostalgia appeal .
76283985	use	discontinued	5	5	3	3	While most cities discontinued the use of trams in favour of buses in the middle of the last century , a few of the original lines have survived without interruption .
76314291	burning	discontinues	33	33	32	32	While lighting the bowl with -LRB- preferably -RRB- a lighter or match , the bottle is gradually lifted until it is about to come out of the water or when the substance discontinues burning .
76368307	production	discontinued	4	4	2	2	White Wolf discontinued their production of the game line long before having published all material that was originally planned .
76409855	program	discontinued	6	6	3	3	Wichita State University discontinued its football program after the conclusion of the 1986 season .
76438031	line	discontinuing	9	9	6	6	Widespread rumors circulating about the manufacturer discontinuing this product line are completely false .
76438409	format	discontinued	9	9	4	4	Wide World of Sports discontinued its traditional anthology series format in 1997 .
76474565	manufacture	discontinue	9	9	7	7	When the Raleigh Bicycle Company decided to discontinue the manufacture of their 3-wheeled vehicles in 1934 , their Works Manager Mr T .
76499681	work	discontinued	11	11	8	8	When the Cold War ended , the plant discontinued the detonator work , but it continued to make nuclear power generators for space probes .
76502541	work	discontinued	9	9	8	8	When the core developers at that time gradually discontinued work on the project throughout the end of 2007 and the beginning of 2008 , the 2 .
76528979	drug	discontinue	24	24	22	22	When withdrawal from any medication occurs it can be harmful or even fatal ; hence prescription warning labels explicitly saying not to discontinue the drug without doctor approval .
76539090	host	discontinue	13	13	10	10	When the jazz group at Cal State Northridge opted to discontinue their being host , Tucker volunteered to assume the hosting responsibilities on the U .
76546938	program	discontinued	7	7	4	4	When Long Beach State discontinued its football program in December 1991 , His collegiate career ended in dramatic fashion in 1994 when he threw a game-winning , 5-yard touchdown pass to wide receiver Kevin Dyson in the final minute to give Utah a 16-13 win over Arizona in the Freedom Bowl .
76561106	team	discontinue	9	9	6	6	When his club Panellinios decided to discontinue its football team , Kalafatis together with 40 other athletes broke away and established the first team of Panathinaikos , named Podosfairikos Omilos Athinon -LRB- POA -RRB- at the time .
76571139	relationship	discontinued	11	11	8	8	When the film starts , Miss Piggy has discontinued a romantic relationship with Bert when rumors of the roommates being gay hit the media .
76588290	Gang	discontinued	21	21	19	19	When six of the 13 shorts released between 1942 and 1943 sustained losses rather than turning profits , MGM discontinued Our Gang , releasing the final short , Dancing Romeo , on April 29 , 1944 .
76600264	training	discontinued	7	7	4	4	When the army had discontinued its dental training , Curtis was allowed to leave to complete dental school .
76601584	extension	discontinue	9	9	7	7	When the authorities used military force to discontinue the extension of an originally peaceful protest strike in Zurich , on November 10 , the committee gave Calonder the ultimatum to either call back the militia or accept the consequences of a nation-wide strike , Calonder declined in the name of the Federal Council , and on November 11 , 1918 , the committee called for an indefinite strike , now referred to as the Swiss General Strike .
76607128	area	discontinued	8	8	5	5	When the broadcasting had been discontinued a recreation area with camping and hotels was to be built there .
76608692	logo	discontinued	17	17	13	13	When the Canucks moved to the National Hockey League in 1970 , they discontinued the Johnny Canuck logo in favour of the `` Stick-in-Rink '' logo .
76612690	existence	discontinue	25	25	24	24	When Rivera and Narell left the group after its second release , Island Stories , it appeared as if the Caribbean Jazz Project would discontinue existence .
76613791	production	discontinued	10	10	9	9	When Rolls-Royce bought Bentley Motors from the receiver it discontinued production of the 8-Litre and disposed of all spare parts for it .
