24924969	SRV	discontinued	3	3	1	1	Cirrus discontinued the SRV for the 2010 model year .
25638640	production	discontinued	3	3	1	1	Corning discontinued its production of Pyrex products , but still licensed the Pyrex brand name to other companies , including World Kitchen , and Newell Cookware Europe .
25842466	series	discontinued	13	13	11	11	Collins then refocused the company on producing niche-themed pornography , and discontinued some series that had more ambiguous themes and were not selling well .
26341125	service	discontinuing	25	25	20	20	CHRC announced it would cease operations at the end of the month of September 2012 , at the same time discontinuing the last AM radio service from Quebec City .
26466016	investigation	discontinue	25	25	23	23	Chemical Safety Board asked the Bureau of Ocean Energy Management , Regulation and Enforcement -LRB- formerly called the Minerals Management Service -RRB- to discontinue its investigation of the blowout preventer , which began 16 November at a NASA facility near New Orleans , until dealing with conflicts of interest .
26551094	use	discontinued	8	8	6	6	California were the practice began has discontinued their use though it will be paying off debt on previous formed districts for years to comeEnactment of a TAD typically requires approval of all local governments who will be giving-up taxes , thus a project within a municipality will also require approval of the county ' s commission -LRB- or its local equivalent -RRB- , and the board of the school district , in addition to the city council and possibly township board of supervisors -LRB- if applicable -RRB- .
26818483	block	discontinued	42	42	37	37	Channel 9 was New York City ' s last remaining commercial station to air children ' s programming on both weekday mornings and aftertnoons , an ironic twist from 20 years earlier ; however , Fox later discontinued the Fox Kids weekday block in January 2002 while UPN ended its cartoon block in August 2003 , WWOR then picked up syndicated cartoons in the fall of 2003 in the 7 to 9 a .
27324518	issuance	discontinue	17	17	15	15	However this only continued until 1832 , when the Lieutenant Governor advised the Corporation to discontinue the issuance of leases after a bill was passed to combine the clergy reserves with Crown land .
27525976	participation	discontinued	12	12	10	10	However , in each study , one or more students discontinued their participation in the group-contingency .
27702512	system	discontinue	8	8	5	5	However following a decision to discontinue the ward system in 2007 , all councillors are elected from the Gnowangerup district .
29715489	program	discontinued	23	23	21	21	From 1980 to 1989 , he served as the head coach and directed a multiple-I and pro-set offense until the school discontinued the program .
31744294	ticker	discontinued	4	4	2	2	Headline News discontinued the ticker with the introduction of new on-screen graphics on December 15 , 2008 .
33661681	drug	discontinue	20	20	18	18	It may be used , usually in combination with other drugs , to treat acquired nystagmus Many patients discontinue the drug because of unwanted side effects .
33997267	education	discontinuing	25	25	23	23	It covers the period in Malabar history starting with the arrival of Abdul Rahiman in Kerala at the age of 23 , after discontinuing his education in Aligarh , up to his demise in 1945 .
34973968	raising	discontinue	29	29	27	27	Lord Fairfax was required by Parliament to present a petition to his sovereign , entreating Charles to hearken to the voice of his Parliament , and to discontinue the raising of troops .
35842217	west	discontinue	11	11	8	8	Limited service and low ridership led NJT to discontinue all service west of High Bridge .
35927319	lawsuit	discontinue	5	5	3	3	He would later discontinue the lawsuit without a settlement .
37669970	program	discontinued	12	12	8	8	Like many other independent schools , Shipley has discontinued its Advanced Placement program to increase curricular latitude , although it still offers AP Studio Art .
40916255	release	discontinued	8	8	5	5	Microsoft announced that they have discontinued the separate release of WinFS for Windows XP and Windows Vista and will gradually incorporate the technologies developed for WinFS in other products and technologies , notably Microsoft SQL Server .
40953925	program	discontinued	7	7	4	4	Michael ' s College discontinued its hockey program after the 1961-62 season , the Toronto St .
43758130	service	discontinuing	4	4	1	1	Since discontinuing all scheduled service in May 2008 , North American Airlines continues to operate today as solely a charter airline .
44749025	behavior	discontinue	20	20	18	18	I would like you guys to please discuss with him the policies on wiki and urge him to discontinue this behavior .
45343007	take-off	discontinue	31	31	29	29	The Board determines that the probable cause of this accident was either the failure of the pilot to release the gust lock before take-off , or his decision to discontinue the take-off because of apprehension resulting from rapid use of a short runway under a possible calm wind condition .
45952873	policy	discontinue	17	17	6	6	Provisions of the CMP mentions to discontinue disinvestment , massive social sector outlays and an independent foreign policy .
48108545	delivery	discontinue	12	12	10	10	Penn Hills ' Turner Dairy is the areas last to discontinue home delivery .
49252809	contract	discontinue	14	14	11	11	On August 27 , 2009 , Toyota announced that it would discontinue its production contract with NUMMI , shifting Tacoma production to its San Antonio , Texas pickup plant and Corolla assembly to Cambridge , Ontario .
49260775	practice	discontinue	19	19	16	16	On August 7 , 2008 the Washington Post reported that the Guantanamo guards defied orders to discontinue the illegal practice of arbitrarily moving captives multiples times a day to deprive them of sleep , after it was banned in March 2004 .
49290002	distribution	discontinued	15	15	11	11	On August 13 , 2010 , Oracle was rumored to have discontinued the OpenSolaris binary distribution to focus on the Solaris Express binary distribution program .
51123858	series	discontinued	3	3	1	1	Nash discontinued the series in October 2012 and replaced it with Here There Be Dragons .
51651873	multiplayer	discontinued	10	10	7	7	One year after game release , BioWare discontinued any further multiplayer challenges , while leave challenge system functional and servers up .
51662690	sale	discontinued	16	16	13	13	On February 27 , 1990 , Senate Bill 337 was passed , which discontinued the retail sale of alcohol by the state .
51727751	venture	discontinue	15	15	12	12	On June 29 , 2009 , General Motors announced that they would discontinue the joint venture with Toyota .
52080379	service	discontinuing	14	14	11	11	On September 30 , 2008 , due to the Annenberg Foundation discontinuing its satellite service -LRB- from which most of WLNE ' s education programming originated -RRB- , WSRE discontinued WLNE .
52230788	game	discontinue	12	12	10	10	On October 19 , 2011 , Frogster announced they would discontinue the game in Europe .
53324259	back	discontinue	11	11	9	9	RR warnings to both editors and strongly suggest they discontinue this back and forth reverting until some discussion takes place .
55511848	pursuit	discontinued	11	11	9	9	The submarine missed with three more torpedoes and then discontinued the pursuit .
